Approved_symbol	Previous_symbols	Gene_group_ID	NCBI_Gene_ID
GSTA5		567	221357
GSTA6P	GSTAP1	567	2942
GSTA7P	GSTAP2	567	730152
GSTA8P		567	100420627
GSTA9P		567	100174857
GSTA10P		567	647177
GSTA11P		567	647175
GSTA12P		567	647169
GSTCD		2066	79807
GSTCD-AS1		1987	101929529
GSTK1		567	373156
GSTM1	GST1	567	2944
GSTM2		567	2946
GSTM2P1			442245
GSTM3		567	2947
GSTM3P1	GSTM3P		170523
GSTM3P2			100421057
GSTM4		567	2948
GSTM5		567	2949
GSTM5P1	GST1L|GSTM1L		100505557
GSTO1		567	9446
GSTO2		567	119391
GSTO3P	GSTO3P1	567	344813
GSTP1	FAEES3|GST3	567	2950
GSTP1P1	GST3L|GSTPL|GSTPP		2951
GSTPL			<NA>
GSTT1		567	2952
GSTT1-AS1		1987	106099130
GSTT2		567	2953
GSTT2B		567	653689
GSTT3P		567	<NA>
GSTT4	GSTTP1	567	25774
GSTTP2			653399
GSTZ1		567	2954
GSX1	GSH1	518	219409
GSX2		518	170825
GTA	GGTB1		<NA>
GTBP			<NA>
GTDC1		427	79712
GTF2A1		1835|1748	2957
GTF2A1-AS1		1987	101928504
GTF2A1L		1748	11036
GTF2A2		1748	2958
GTF2B		565	2959
GTF2D1			<NA>
GTF2E1		1746	2960
GTF2E2		1746	2961
GTF2F1		1750|1691	2962
GTF2F2		1750	2963
GTF2F2P1	GTF2F2L		2964
GTF2F2P2			728633
GTF2H1		1745|1269	2965
GTF2H2		1269|1745	2966
GTF2H2B			653238
GTF2H2C			728340
GTF2H2C_2	GTF2H2D		730394
GTF2H3		1745|1269	2967
GTF2H4		1269|1745	2968
GTF2H5	C6orf175|TTD	1269|1745	404672
GTF2I	WBSCR6	565	2969
GTF2I-AS1		1987	101926943
GTF2IP1	WBSCR7		2970
GTF2IP2			338448
GTF2IP3			645686
GTF2IP4			100093631
GTF2IP5			100420546
GTF2IP6			101927390
GTF2IP7			<NA>
GTF2IP8			101927717
GTF2IP9			<NA>
GTF2IP10			<NA>
GTF2IP11			<NA>
GTF2IP12			<NA>
GTF2IP13			<NA>
GTF2IP14			<NA>
GTF2IP15			107403154
GTF2IP16			<NA>
GTF2IP17			<NA>
GTF2IP18			<NA>
GTF2IP19			<NA>
GTF2IP20			441124
GTF2IP21			<NA>
GTF2IP22			<NA>
GTF2IP23			<NA>
GTF2IRD1	WBSCR11		9569
GTF2IRD1P1			729156
GTF2IRD2			84163
GTF2IRD2B			389524
GTF2IRD2P1	GTF2IRD2P		401375
GTF3A		565|28	2971
GTF3AP1			100135064
GTF3AP2			<NA>
GTF3AP3			<NA>
GTF3AP4			100420593
GTF3AP5			100128217
GTF3AP6			100135063
GTF3B			<NA>
GTF3BAP1	TAF3A		<NA>
GTF3BAP2	TAF3B		<NA>
GTF3BAP3	TAF3D		<NA>
GTF3C1		1747	2975
GTF3C2		1747|362	2976
GTF3C2-AS1		1987	100505624
GTF3C2-AS2		1987	105374363
GTF3C3		1747|769	9330
GTF3C4		1747|486	9329
GTF3C5		1691|1747	9328
GTF3C6	C6orf51	1747	112495
GTF3C6P1			100129001
GTF3C6P2			644563
GTF3C6P3			646745
GTPBP1			9567
GTPBP2			54676
GTPBP3			84705
GTPBP4			23560
GTPBP6		715	8225
GTPBP8			29083
GTPBP10			85865
GTS			<NA>
GTSCR1		1992	220158
GTSE1			51512
GTSE1-DT	GTSE1-AS1	1990	150384
GTSF1	FAM112B		121355
GTSF1L	C20orf65|FAM112A		149699
GUC1A2			<NA>
GUC1A3			<NA>
GUC1A4			<NA>
GUC1B3			<NA>
GUC2C			<NA>
GUC2D			<NA>
GUCA1A	GUCA|GUCA1|C6orf131	863	2978
GUCA1ANB-GUCA1A			118142757
GUCA1B		863	2979
GUCA1C		863	9626
GUCA2			<NA>
GUCA2A	GUCA2	542	2980
GUCA2B		542	2981
GUCD1	C22orf13		83606
GUCY1A1	GUC1A3|GUCY1A3	820	2982
GUCY1A2	GUC1A2	820	2977
GUCY1B1	GUC1B3|GUCY1B3	820	2983
GUCY1B2		820	2974
GUCY2C	GUC2C	343	2984
GUCY2C-AS1		1987	<NA>
GUCY2D	CORD6|LCA|GUC2D|GUC1A4	343	3000
GUCY2EP	GUCY2E	343	390226
GUCY2F		343	2986
GUCY2GP	GUCY2G	343	390003
GUD			<NA>
GUF1			60558
GUK1			2987
GUK2			2988
GULOP			2989
GULP1		1691	51454
GUSB		1650	2990
GUSBP1			728411
GUSBP2	SMAC3L2|GUSBL1		387036
GUSBP3			653188
GUSBP4	C6orf216|SMAC3L|GUSBL2		375513
GUSBP5			441046
GUSBP6			<NA>
GUSBP7			100132456
GUSBP8			441066
GUSBP9			118126072
GUSBP10			642006
GUSBP11			91316
GUSBP12			642007
GUSBP13			100287046
GUSBP14			11039
GUSBP15			11042
GUSBP16			653080
GUSBP17			100049076
GUSBP18			643373
GUSBP19			100133050
GUSM			<NA>
GVINP1	GVIN1|GVIN1P		387751
GVINP2			100128135
GVQW1	TIGD1L2		<NA>
GVQW3			100506127
GXP1			<NA>
GXYLT1	GLT8D3	436	283464
GXYLT1P1			100101111
GXYLT1P2			441958
GXYLT1P3			100132541
GXYLT1P4			100132441
GXYLT1P5			100131760
GXYLT1P6			100132672
GXYLT1P7			100130488
GXYLT2	GLT8D4	436	727936
GYG1	GYG	436	2992
GYG1P1			100132965
GYG1P2			647317
GYG1P3			645506
GYG2		436	8908
GYG2-AS1		1987	<NA>
GYG2P1	GYG2P		352887
GYG2P2			100418892
GYPA	MNS	454|471	2993
GYPB	MNS	454|471	2994
GYPC		454|471	2995
GYPE		454	2996
GYS1	GYS	427	2997
GYS2		427	2998
GZF1	ZNF336	28|861	64412
GZMA	HFSP|CTLA3	1636	3001
GZMAP1			<NA>
GZMB	CTLA1|CSPB	1636	3002
GZMH	CTSGL2	1636	2999
GZMK		1636	3003
GZMM		1636	3004
H1-0	H1FV|H1F0	1935	3005
H1-1	H1F1|HIST1H1A	1935	3024
H1-2	H1F2|HIST1H1C	1935	3006
H1-3	H1F3|HIST1H1D	1935	3007
H1-4	H1F4|HIST1H1E	1935	3008
H1-5	H1F5|HIST1H1B	1935	3009
H1-6	H1FT|HIST1H1T	1935	3010
H1-7	H1FNT	1935	341567
H1-8	H1FOO	1935	132243
H1-8P1			642487
H1-8P2			100130048
H1-9P	HILS1|H1-9	1935	373861
H1-10	H1FX	1935	8971
H1-10-AS1	C3orf47|H1FX-AS1	1987	339942
H1-12P	HIST1H1PS1	1935	387325
H1FV			<NA>
H2A			<NA>
H2AB1	H2AFB1	1936	474382
H2AB2	H2AFB2	2293|1936	474381
H2AB3	H2AFB|H2AFB3	1936|2293	83740
H2AC1	HIST1H2AA	1936	221613
H2AC2P	HIST1H2APS1	1936	387319
H2AC3P	H2AFTP|HIST1H2APS2	1936	85303
H2AC4	H2AFM|HIST1H2AB	1936|2293	8335
H2AC5P	H2AFFP|HIST1H2APS5	1936	10341
H2AC6	H2AFL|HIST1H2AC	1936	8334
H2AC7	H2AFG|HIST1H2AD	1936	3013
H2AC8	H2AFA|HIST1H2AE	1936	3012
H2AC9P	HIST1H2APS3	1936	387323
H2AC10P	H2AFK|H2AFKP|HIST1H2APS4	1936	8333
H2AC11	H2AFP|HIST1H2AG	2293|1936	8969
H2AC12	HIST1H2AH	1936	85235
H2AC13	H2AFC|HIST1H2AI	1936|2293	8329
H2AC14	H2AFE|HIST1H2AJ	1936	8331
H2AC15	H2AFD|HIST1H2AK	2293|1936	8330
H2AC16	H2AFI|HIST1H2AL	1936|2293	8332
H2AC17	H2AFN|HIST1H2AM	2293|1936	8336
H2AC18	H2AFO|HIST2H2AA|HIST2H2AA3	1936|2293	8337
H2AC19	HIST2H2AA4	1936|2293	723790
H2AC20	H2A|H2AFQ|HIST2H2AC	1936	8338
H2AC21	HIST2H2AB	1936	317772
H2AC25	HIST3H2A|H2AW	1936	92815
H2ACP1	HIST1H2APS6		100509927
H2ACP2			115482716
H2AFK			<NA>
H2AJ	H2AFJ	1936	55766
H2AL1MP	H2AL1SP	1936	115482687
H2AL1Q	H2AL1QP	1936	115482714
H2AL3	H2AL1RP	1936	115482686
H2AP	CXorf27|HYPM	1936	25763
H2AQ1P		1936	115482715
H2AX	H2AFX	1936	3014
H2AX			<NA>
H2AZ			<NA>
H2AZ1	H2AZ|H2AFZ	1936	3015
H2AZ1-DT		1990	256880
H2AZ2	H2AV|H2AFV	1936	94239
H2AZ2-DT	LINC01952	1990	105375261
H2AZ2P1	H2AFVP|H2AFVP1		654500
H2AZP1	H2AFZP|H2AFZP1		54049
H2AZP2	H2AFZP2		346990
H2AZP3	H2AFZP3		728023
H2AZP4	H2AFZP4		100462795
H2AZP5	H2AFZP5		100288330
H2AZP6	H2AFZP6		100462800
H2AZP7			115482726
H2B			<NA>
H2BC1	HIST1H2BA	1937	255626
H2BC2P	HIST1H2BPS1	1937	100288742
H2BC3	H2BFF|HIST1H2BB	1937	3018
H2BC4	H2BFL|HIST1H2BC	1937	8347
H2BC5	H2BFB|HIST1H2BD	1937	3017
H2BC6	H2BFH|HIST1H2BE	2293|1937	8344
H2BC6-AS1		1987	<NA>
H2BC7	H2BFG|HIST1H2BF	1937|2293	8343
H2BC8	H2BFA|HIST1H2BG	1937|2293	8339
H2BC9	H2BFJ|HIST1H2BH	1937	8345
H2BC10	H2BFK|HIST1H2BI	1937|2293	8346
H2BC11	H2BFR|HIST1H2BJ	1937	8970
H2BC12	H2BFT|HIST1H2BK	1937	85236
H2BC12L	H2BFS|H2BS1	1937	54145
H2BC13	H2BFC|HIST1H2BL	1937	8340
H2BC14	H2BFE|HIST1H2BM	1937	8342
H2BC15	H2BFD|HIST1H2BN	1937	8341
H2BC16P	H2BFIP|HIST1H2BPS2	1937	10340
H2BC17	H2BFN|HIST1H2BO	1937	8348
H2BC18	HIST2H2BF	1937	440689
H2BC19P	H2BFO|HIST2H2BD	1937	337874
H2BC20P	HIST2H2BC	1937	337873
H2BC21	H2B|H2BFQ|HIST2H2BE	1937	8349
H2BC26	HIST3H2BB|H2BU1	1937	128312
H2BC27P	HIST3H2BA|H2BU2P	1937	337872
H2BFO			<NA>
H2BK1	H2BE1	1937	114483833
H2BL1P	H2BP4	1937	115482689
H2BN1		1937	124188214
H2BP1	HIST2H2BA		337875
H2BP2	HIST2H2BB		338391
H2BP3			391566
H2BP5			115482690
H2BP6	HIST1H2BPS3		100820735
H2BP7			115482717
H2BP8			115482725
H2BP9			115482691
H2BW1	H2BFWT	1937	158983
H2BW2	H2BFM|H2BM	1937	286436
H2BW3P		1937	100101478
H2BW4P	H2BFXP	1937	767811
H3-3A	H3F3|H3F3A	1938|2293	3020
H3-3A-DT		1990	<NA>
H3-3B	H3F3B	2293|1938	3021
H3-4	H3FT|HIST3H3	1938	8290
H3-5	H3F3C	1938	440093
H3-7	HIST2H3PS2|H3-2	1938	440686
H3C1	H3FA|HIST1H3A	1938|2293	8350
H3C2	H3FL|HIST1H3B	2293|1938	8358
H3C3	H3FC|HIST1H3C	1938|2293	8352
H3C4	H3FB|HIST1H3D	2293|1938	8351
H3C5P		1938	115482688
H3C6	H3FD|HIST1H3E	2293|1938	8353
H3C7	H3FI|HIST1H3F	1938|2293	8968
H3C8	H3FH|HIST1H3G	2293|1938	8355
H3C9P	HIST1H3PS1	1938	100289545
H3C10	H3FK|HIST1H3H	1938|2293	8357
H3C11	H3FF|HIST1H3I	1938|2293	8354
H3C12	H3FJ|HIST1H3J	2293|1938	8356
H3C13	HIST2H3D	2293|1938	653604
H3C14	H3F2|H3FM|HIST2H3C	1938|2293	126961
H3C15	HIST2H3A	2293|1938	333932
H3F2			<NA>
H3FM			<NA>
H3P1			<NA>
H3P2			115482681
H3P3			<NA>
H3P4	HIST2H3DP1		<NA>
H3P5			115482712
H3P6	H3F3AP4		440926
H3P7			115482683
H3P8			<NA>
H3P9			115482684
H3P10			115482713
H3P11			115482708
H3P12	H3F3AP3		100689229
H3P13			115482685
H3P14			107986209
H3P15			100419353
H3P16	H3F3AP6		644914
H3P17			<NA>
H3P18			391744
H3P19			115482709
H3P20			100289141
H3P21			391765
H3P22			115482719
H3P23			115482696
H3P24			115482697
H3P25			115482720
H3P26	H3FEP|HIST1H1PS2		10338
H3P27			115482698
H3P28			115482699
H3P29			115482721
H3P30			115482700
H3P31			<NA>
H3P32			115482701
H3P33			115482722
H3P34			<NA>
H3P35			115482703
H3P36	H3F3BP1		100287087
H3P37	H3F3AP2		664611
H3P38	H3F3AP1		654505
H3P39			115482707
H3P40			115482723
H3P41	H3F3BP2		100420410
H3P42			115482704
H3P43			100506811
H3P44	H3F3AP5		347376
H3P45			115482705
H3P46			115482724
H3P47			115482706
H3Y1		1938	391769
H3Y2		1938	340096
H4C1	H4FA|HIST1H4A	1939|2293	8359
H4C2	H4FI|HIST1H4B	1939|2293	8366
H4C3	H4FG|HIST1H4C	1939|2293	8364
H4C4	H4FB|HIST1H4D	2293|1939	8360
H4C5	H4FJ|HIST1H4E	2293|1939	8367
H4C6	H4FC|HIST1H4F	1939|2293	8361
H4C7	H4FL|HIST1H4G	1939	8369
H4C8	H4FH|HIST1H4H	2293|1939	8365
H4C9	H4FM|HIST1H4I	1939|2293	8294
H4C10P	H4FFP|HIST1H4PS1	1939	10337
H4C11	H4FE|HIST1H4J	1939|2293	8363
H4C12	H4FD|HIST1H4K	2293|1939	8362
H4C13	H4FK|HIST1H4L	1939|2293	8368
H4C14	H4F2|H4FN|HIST2H4|H4/n|HIST2H4A	2293|1939	8370
H4C15	HIST2H4B	1939|2293	554313
H4C16	HIST4H4|H4-16	1939|2293	121504
H4F2			<NA>
H4F3			<NA>
H4P1			<NA>
H6PD	GDH		9563
H19		1992|1688	283120
HAAO			23498
HABP1			<NA>
HABP2			3026
HABP4			22927
HACD1	PTPLA	2025	9200
HACD2	PTPLB	2025	201562
HACD3	PTPLAD1	2025	51495
HACD4	PTPLAD2	2025	401494
HACE1		403|1959	57531
HACL1	HPCL		26061
HADH	HADHSC		3033
HADHA			3030
HADHAP1	HADHAP		3031
HADHAP2			399994
HADHB			3032
HADHBP1			100287928
HADHSC	HADHSC		<NA>
HAFML		1992	105377555
HAGH		1614	3029
HAGHL		1614	84264
HAGLR	HOXD-AS1	1992	401022
HAGLROS		1992	102800310
HAL	HIS		3034
HAMP			57817
HAND1		420	9421
HAND2		420	9464
HAND2-AS1		1987	79804
HAO1	GOX1	2258	54363
HAO2		2258	51179
HAO2-IT1		1989	<NA>
HAO3			<NA>
HAOL			<NA>
HAP1	HAP2		9001
HAP2			<NA>
HAPLN1	CRTL1	590	1404
HAPLN2		590	60484
HAPLN3	EXLD1	590	145864
HAPLN4		590	404037
HAPP	HAP1		<NA>
HAPSTR1	C16orf72		29035
HAPSTR2			389895
HAR1A		1992	768096
HAR1B		1992	768097
HARBI1	C11orf77	1415	283254
HARS1	USH3B|HARS	132	3035
HARS2	HARSL	132	23438
HAS1	HAS	428	3036
HAS2		428	3037
HAS2-AS1	HAS2AS|HAS2-AS	1987	594842
HAS3		428	3038
HASPIN	GSG2		83903
HAT1		486	8520
HAUS1	CCDC5	581	115106
HAUS1P1			728921
HAUS1P2			441484
HAUS1P3			100271703
HAUS2	C15orf25|CEP27	581	55142
HAUS3	C4orf15	581	79441
HAUS4	C14orf94	581|1691	54930
HAUS4P1			100129402
HAUS5	KIAA0841	581	23354
HAUS5-DT		1990	<NA>
HAUS6	FAM29A	1835|581	54801
HAUS6P1			653175
HAUS6P2			100133268
HAUS6P3			<NA>
HAUS7	UCHL5IP	581	55559
HAUS8	HICE1	581	93323
HAUS8P1			100420901
HAUSP			<NA>
HAVCR1		590|471	26762
HAVCR1P1			100101266
HAVCR1P2			100421002
HAVCR2		590	84868
HAX1			10456
HAX1P1			100129661
HBA1		2293|940	3039
HBA2		940|2293	3040
HBAP1		940	3041
HBB		940	3043
HBBP1		940	3044
HBD		940	3045
HBE1		940	3046
HBEGF	HEGFL|DTS|DTR		1839
HBG1		940	3047
HBG2		940	3048
HBM	HBAP2	940	3042
HBP1			26959
HBQ1		940	3049
HBS1L		1691	10767
HBZ		940	3050
HBZP1	HBZP	940	3051
HCAR1	GPR104|GPR81	200	27198
HCAR2	GPR109A	200	338442
HCAR3	GPR109B	200	8843
HCCAT5		1992	283902
HCCS	MLS	645	3052
HCCS-DT		1990	<NA>
HCF2			<NA>
HCFC1	HFC1|MRX3	1058|1482|694	3054
HCFC1-AS1		1987	<NA>
HCFC1R1			54985
HCFC2			29915
HCFC2P1			100419149
HCG2P1			<NA>
HCG2P2			<NA>
HCG2P4			<NA>
HCG2P6			<NA>
HCG2P7			<NA>
HCG2P8			<NA>
HCG4	HCG4P10	1992	54435
HCG4B	HCG4P6	1992	80868
HCG4P1			387503
HCG4P2			387504
HCG4P3			353001
HCG4P4			353002
HCG4P5			353003
HCG4P7			353004
HCG4P8			353005
HCG4P9			353014
HCG4P10			<NA>
HCG4P11			353020
HCG8			<NA>
HCG9		1992	10255
HCG9P1			387505
HCG9P2			387506
HCG9P3			387507
HCG9P5			353019
HCG11		1992	493812
HCG12	HCG12		<NA>
HCG13P			493813
HCG14		1992	414760
HCG15	HCG16	1992	<NA>
HCG16			<NA>
HCG17		1992	414778
HCG18		1992	414777
HCG19P			414776
HCG20		1992	<NA>
HCG21		1992	<NA>
HCG22			285834
HCG23		1992	414764
HCG24		1992	<NA>
HCG25		1992	414765
HCG26		1992	352961
HCG27		1992	253018
HCHOLA3			<NA>
HCHOLA4			<NA>
HCK		741|1388	3055
HCL1			<NA>
HCL2			<NA>
HCL3			<NA>
HCLS1			3059
HCN1	BCNG1	250	348980
HCN2	BCNG2	250	610
HCN3		250	57657
HCN4		250	10021
HCP5		1992	10866
HCP5B	HCP5P10	1992	352990
HCP5P2			<NA>
HCP5P3			<NA>
HCP5P6			<NA>
HCP5P8			<NA>
HCP5P12			<NA>
HCP5P13			<NA>
HCP5P14			<NA>
HCP5P15			<NA>
HCRT		1902	3060
HCRTR1		228	3061
HCRTR2		228	3062
HCST	PIK3AP		10870
HCVS			<NA>
HDAC1	RPD3L1	1243|989|1306|1305|2103	3065
HDAC1P1			100419595
HDAC1P2			100419489
HDAC2		2103|1243|989|1305|1306	3066
HDAC2-AS2		1987	101927768
HDAC3		1875|989	8841
HDAC4	BDMR	992|1691	9759
HDAC4-AS1		1987	101928111
HDAC5		992	10014
HDAC6		993|694	10013
HDAC7	HDAC7A	992	51564
HDAC8	HDACL1|WTS|MRXS6	989	55869
HDAC9		992	9734
HDAC9-AS1		1987	105375176
HDAC10		993	83933
HDAC11		991	79885
HDAC11-AS1		1987	100874101
HDC			3067
HDDC2	C6orf74		51020
HDDC3			374659
HDGF		1418	3068
HDGFL1	PWWP1	1418	154150
HDGFL2		1418	84717
HDGFL3		1418	50810
HDGFL3P1			<NA>
HDGFP1	HDGFP		474167
HDHD2		1377	84064
HDHD3	C9orf158	1377	81932
HDHD5	CECR5	1377	27440
HDHD5-AS1	CECR4|CECR5-AS1	1987	100130717
HDLBP	VGL		3069
HDLBP-AS1		1987	101927509
HDLCQ1			<NA>
HDLDT1			<NA>
HDX	CXorf43	523	139324
HEATR1		1492|870|1483	55127
HEATR3		1492	55027
HEATR3-AS1		1987	<NA>
HEATR4		1492	399671
HEATR5A	C14orf125	1492	25938
HEATR5A-DT		1990	101927124
HEATR5B		1492	54497
HEATR6		1492|1691	63897
HEATR6-DT		1990	105371849
HEATR9	C17orf66	1492	256957
HEBP1		542	50865
HEBP2	C6orf34		23593
HEBP2P1			100128759
HECA			51696
HECTD1		403|1492|1959	25831
HECTD2		1959	143279
HECTD2-AS1		1987	100188947
HECTD3		1959	79654
HECTD4	C12orf51	1959|1691	283450
HECW1		1691|1959|823	23072
HECW1-IT1		1989	100127950
HECW2		1959|823	57520
HECW2-AS1		1987	101927482
HEG1			57493
HEGFL			<NA>
HEIH		1992	100859930
HELB			92797
HELIGL1			<NA>
HELLPAR		1992	101101692
HELLS		1167	3070
HELQ		1167	113510
HELT		420	391723
HELZ		1169|73	9931
HELZ-AS1		1987	101928021
HELZ2		1169	85441
HEMGN			55363
HEMK1		2058	51409
HEN1			<NA>
HEN2			<NA>
HENMT1	C1orf59	2062	113802
HEP10			<NA>
HEPACAM		590|1410	220296
HEPACAM2		593|590	253012
HEPFAL	LINC03038	1992	124905036
HEPH			9843
HEPHL1			341208
HEPN1			641654
HERC1		1885|362	8925
HERC2		91|1885	8924
HERC2P1			8917
HERC2P2			400322
HERC2P3			283755
HERC2P4			100289574
HERC2P5			388254
HERC2P6			8918
HERC2P7			100132101
HERC2P8			440366
HERC2P9			440248
HERC2P10			390561
HERC2P11			100996738
HERC3		1885	8916
HERC4		1885	26091
HERC5		1885	51191
HERC6		1885	55008
HERPUD1			9709
HERPUD2			64224
HERPUD2-AS1		1987	101930085
HES1	HRY	420	3280
HES2		420	54626
HES3		420	390992
HES4		420	57801
HES5		420	388585
HES6		420	55502
HES7		420	84667
HESX1		521	8820
HEXA		1642	3073
HEXA-AS1	C15orf34	1987	80072
HEXB		1642	3074
HEXD	HEXDC	1642	284004
HEXD-IT1	HEXDC-IT1	1989	100505970
HEXIM1		1281	10614
HEXIM2		1281	124790
HEXIM2-AS1		1987	112268203
HEY1		420	23462
HEY2		420	23493
HEY2-AS1		1987	105377986
HEYL		420	26508
HF2			<NA>
HFC1			<NA>
HFE		591	3077
HFE-AS1		1987	108783645
HFM1	SEC63D1	1168	164045
HFSP			<NA>
HGD	AKU		3081
HGF	DFNB39		3082
HGFAC			3083
HGFL			<NA>
HGH1	C8orf30A|FAM203B|C8orf30B|FAM203A	1492	51236
HGL			<NA>
HGPPS	HGPPS		<NA>
HGS		1115|81|1691	9146
HGSNAT	TMEM76		138050
HHAT		1036	55733
HHATL	C3orf3|GUP1	1036	57467
HHATL-AS1		1987	<NA>
HHC1			<NA>
HHC2			<NA>
HHC3			<NA>
HHEX	PRHX	519	3087
HHG			<NA>
HHH			<NA>
HHIP			64399
HHIP-AS1		1987	646576
HHIPL1	KIAA1822	1404	84439
HHIPL2	KIAA1822L		79802
HHLA1	PLA2L		10086
HHLA2		590|1824|591	11148
HIBADH			11112
HIBCH			26275
HIC1		861|28	3090
HIC2		861|28	23119
HID1	C17orf28		283987
HID1-AS1		1987	102723641
HIF1A		2127|420	3091
HIF1A-AS1		1987	100750246
HIF1A-AS2		1987	100750247
HIF1A-AS3		1987	105370526
HIF1AN		1346	55662
HIF1AP1			100874523
HIF3A		420|2127	64344
HIGD1A		645	25994
HIGD1AP1	HIGD1D|HIGD1DP		100129086
HIGD1AP2			100874450
HIGD1AP3			100859920
HIGD1AP4			<NA>
HIGD1AP5			100289300
HIGD1AP6			100874436
HIGD1AP7			<NA>
HIGD1AP8			<NA>
HIGD1AP9			<NA>
HIGD1AP10			100287960
HIGD1AP11			<NA>
HIGD1AP12			100130383
HIGD1AP13			100874454
HIGD1AP14			<NA>
HIGD1AP15			<NA>
HIGD1AP16			<NA>
HIGD1AP17			100874477
HIGD1AP18			<NA>
HIGD1B			51751
HIGD1C			613227
HIGD2A		645	192286
HIGD2AP1			100289360
HIGD2AP2			112268442
HIGD2B	HIGD2BP		123346
HIGM1			<NA>
HIKESHI	C11orf73		51501
HIKESHIP1			100217367
HIKESHIP2			<NA>
HIKESHIP3			<NA>
HILPDA	C7orf68		29923
HILPDA-AS1		1987	102724660
HINFP	MIZF	28	25988
HINT1	PRKCNH1|HINT	1811	3094
HINT1P1			730647
HINT1P2			100233146
HINT2		1811	84681
HINT2P1			101929471
HINT3		1811	135114
HIP1			3092
HIP1R			9026
HIPK1			204851
HIPK1-AS1		1987	101928846
HIPK2			28996
HIPK3			10114
HIPK4			147746
HIRA	TUPLE1	362|1997	7290
HIRAP1			100422545
HIRIP3			8479
HIS			<NA>
HISLA	LINC01146	1992	283587
HIST2H3B			<NA>
HIVE1			<NA>
HIVEP1	ZNF40	28	3096
HIVEP2		28	3097
HIVEP2-DT		1990	107986655
HIVEP3		28	59269
HJURP			55355
HJV	HFE2	1587	148738
HK1			3098
HK2			3099
HK2-DT		1990	<NA>
HK2P1	HK2P		642546
HK2P2			<NA>
HK3			3101
HKDC1			80201
HLA-A		591|588	3105
HLA-B	AS	588|1691|591	3106
HLA-C	HLA-JY3|D6S204|PSORS1	591|588	3107
HLA-DMA		588|591	3108
HLA-DMB		591|588	3109
HLA-DOA	HLA-DZA|HLA-DNA	588|591	3111
HLA-DOB		591|588	3112
HLA-DPA1	HLA-DP1A	588|591	3113
HLA-DPA2	HLA-DP2A	588	646702
HLA-DPA3		588	267013
HLA-DPB1	HLA-DP1B	588|591	3115
HLA-DPB2	HLA-DP2B	588	3116
HLA-DQA1	HLA-DQA	588|591	3117
HLA-DQA1-AS1		1987	124901301
HLA-DQA2	HLA-DXA	591|588	3118
HLA-DQB1	HLA-DQB	588|591	3119
HLA-DQB1-AS1		1987	<NA>
HLA-DQB2	HLA-DXB	591|588	3120
HLA-DQB3	HLA-DVB	588	3121
HLA-DRA	HLA-DRA1	588|591	3122
HLA-DRB1	HLA-DR1B	591|588	3123
HLA-DRB1L			<NA>
HLA-DRB2	HLA-DR2B	588	3124
HLA-DRB3	HLA-DR3B	588|591	3125
HLA-DRB4	HLA-DR4B	591|588	3126
HLA-DRB5		588|591	3127
HLA-DRB6		588	3128
HLA-DRB7		588	3129
HLA-DRB8		588	3130
HLA-DRB9	HLA-DRB1L|HLA-DR1BL	588	3132
HLA-DVB			<NA>
HLA-DXA			<NA>
HLA-DXB			<NA>
HLA-DZA			<NA>
HLA-E		588|591	3133
HLA-F		591|588	3134
HLA-F-AS1		1987	285830
HLA-G		588|591	3135
HLA-H		588	3136
HLA-J	HLA-CDA12|D6S203	588	3137
HLA-JY3			<NA>
HLA-K	HLAK|HLA70	588	3138
HLA-L	HLA92|HLAL	588	3139
HLA-N		588	267014
HLA-P	C6orf101|HLA-90	588	352963
HLA-S		588	267015
HLA-T	HLA-16	588	352964
HLA-U	HLA-21	588	352965
HLA-V	HLA-75	588	352962
HLA-W	HLA-80	588	352966
HLA-X		588	267016
HLA-Y		588	100127173
HLA-Z		588	267017
HLA70			<NA>
HLA92			<NA>
HLAK			<NA>
HLAL			<NA>
HLCS			3141
HLCS-AS1		1987	<NA>
HLCS-IT1		1989	<NA>
HLF		1248	3131
HLFP1			<NA>
HLMR1		1992	100507389
HLTF	SNF2L3|SMARCA3	58	6596
HLTF-AS1		1987	100873945
HLX	HLX1	519	3142
HLX-AS1		1987	100873924
HM13		2099	81502
HM13-AS1		1987	<NA>
HM13-IT1		1989	<NA>
HMAA			<NA>
HMAB			<NA>
HMBOX1		524	79618
HMBOX1-IT1		1989	<NA>
HMBOX1-OT1			<NA>
HMBS	PBGD|UPS|PORC		3145
HMCES	C3orf37		56941
HMCN1	ARMD1	593|556	83872
HMCN2		556|593	256158
HMG1P			<NA>
HMG20A		512	10363
HMG20B		512	10362
HMGA1	HMGIY	511|1691	3159
HMGA1P1	HMGA1L1		203477
HMGA1P2	HMGA1L2		171559
HMGA1P3	HMGA1L3		144712
HMGA1P4			100506080
HMGA1P5	HMGA1L5		387063
HMGA1P6	HMGA1L6		100130029
HMGA1P7	HMGA1L7		387065
HMGA1P8			100130009
HMGA2	HMGIC	511	8091
HMGA2-AS1		1987	100129940
HMGB1	HMG1	511	3146
HMGB1L15	HMGB1P2|HMGB1L15		<NA>
HMGB1P1	HMG1L1|HMGB1L1		10357
HMGB1P3	HMG1L3|HMGB1L3		10356
HMGB1P4	HMG1L4|HMG1L4P|HMGB1L4		10355
HMGB1P5	HMG1L5|HMGB1L15|HMGB1P2|HMGB1L5		10354
HMGB1P6	HMG1L6|HMGB1L6		645292
HMGB1P7			100420044
