feature_name_1,feature_name_2,correlation
Cells_AreaShapeArea_AreaShapeArea,Cytoplasm_Intensity_IntegratedIntensity_Intensity_IntegratedIntensity_DNA,0.9929054863080315
Cells_AreaShapeBoundingBoxArea_AreaShapeBoundingBoxArea,Cytoplasm_Intensity_IntegratedIntensity_Intensity_IntegratedIntensity_DNA,0.9873110691321533
Cytoplasm_Intensity_IntegratedIntensityEdge_Intensity_IntegratedIntensityEdge_DNA,Cells_AreaShapePerimeter_AreaShapePerimeter,0.9789185969116403
Cells_AreaShapeBoundingBoxArea_AreaShapeBoundingBoxArea,Cytoplasm_Intensity_IntegratedIntensityEdge_Intensity_IntegratedIntensityEdge_DNA,0.9699235716676194
Cells_AreaShapePerimeter_AreaShapePerimeter,Cytoplasm_Intensity_IntegratedIntensity_Intensity_IntegratedIntensity_DNA,0.9669397375536917
Cytoplasm_Intensity_IntegratedIntensityEdge_Intensity_IntegratedIntensityEdge_DNA,Cells_AreaShapeArea_AreaShapeArea,0.9634459889504476
Cells_AreaShapeMaxFeretDiameter_AreaShapeMaxFeretDiameter,Cytoplasm_Intensity_IntegratedIntensity_Intensity_IntegratedIntensity_DNA,0.9428424521102173
Cells_AreaShapeMajorAxisLength_AreaShapeMajorAxisLength,Cytoplasm_Intensity_IntegratedIntensity_Intensity_IntegratedIntensity_DNA,0.9380318957369358
Cells_AreaShapeMaxFeretDiameter_AreaShapeMaxFeretDiameter,Cytoplasm_Intensity_IntegratedIntensityEdge_Intensity_IntegratedIntensityEdge_DNA,0.9373834049366255
Cells_AreaShapeEquivalentDiameter_AreaShapeEquivalentDiameter,Cytoplasm_Intensity_IntegratedIntensity_Intensity_IntegratedIntensity_DNA,0.932005645202414
Cytoplasm_Intensity_IntegratedIntensityEdge_Intensity_IntegratedIntensityEdge_DNA,Cells_AreaShapeMajorAxisLength_AreaShapeMajorAxisLength,0.931785551521735
Cells_AreaShapeMinFeretDiameter_AreaShapeMinFeretDiameter,Cytoplasm_Intensity_IntegratedIntensity_Intensity_IntegratedIntensity_DNA,0.9316621356016654
Cytoplasm_Texture_SumAverage_Texture_SumAverage_ER_3_00_256,Cells_Intensity_MeanIntensityEdge_Intensity_MeanIntensityEdge_RNA,0.9248813626326111
Cells_Intensity_MeanIntensityEdge_Intensity_MeanIntensityEdge_RNA,Cytoplasm_Texture_SumAverage_Texture_SumAverage_ER_3_02_256,0.924841252821267
Cytoplasm_AreaShapeMinorAxisLength_AreaShapeMinorAxisLength,Cells_Intensity_IntegratedIntensity_Intensity_IntegratedIntensity_DNA,0.9193335747167808
Cytoplasm_Intensity_IntegratedIntensityEdge_Intensity_IntegratedIntensityEdge_DNA,Cells_AreaShapeMinFeretDiameter_AreaShapeMinFeretDiameter,0.9165277770898717
Cytoplasm_Intensity_MinIntensity_Intensity_MinIntensity_DNA,Nuclei_Texture_DifferenceVariance_Texture_DifferenceVariance_RNA_5_03_256,0.914097720938754
Nuclei_Texture_DifferenceVariance_Texture_DifferenceVariance_RNA_5_01_256,Cytoplasm_Intensity_MinIntensity_Intensity_MinIntensity_DNA,0.9138765299209253
Cells_Intensity_IntegratedIntensityEdge_Intensity_IntegratedIntensityEdge_DNA,Cytoplasm_AreaShapeMaxFeretDiameter_AreaShapeMaxFeretDiameter,0.9132116605264382
Cytoplasm_Intensity_IntegratedIntensityEdge_Intensity_IntegratedIntensityEdge_DNA,Cells_AreaShapeEquivalentDiameter_AreaShapeEquivalentDiameter,0.9125093474955732
Cytoplasm_Texture_SumAverage_Texture_SumAverage_RNA_10_03_256,Cells_Intensity_MeanIntensity_Intensity_MeanIntensity_ER,0.9114844126152151
Cells_Intensity_MeanIntensity_Intensity_MeanIntensity_ER,Cytoplasm_Texture_SumAverage_Texture_SumAverage_RNA_10_02_256,0.9101160535918321
Cells_Texture_AngularSecondMoment_Texture_AngularSecondMoment_RNA_10_03_256,Cytoplasm_Intensity_MinIntensity_Intensity_MinIntensity_DNA,0.910050441635313
Cytoplasm_Intensity_MinIntensity_Intensity_MinIntensity_DNA,Cells_Texture_AngularSecondMoment_Texture_AngularSecondMoment_RNA_10_01_256,0.909678333705928
Cytoplasm_Texture_SumAverage_Texture_SumAverage_ER_10_01_256,Cells_Intensity_LowerQuartileIntensity_Intensity_LowerQuartileIntensity_RNA,0.9096555495853554
Cells_Intensity_LowerQuartileIntensity_Intensity_LowerQuartileIntensity_RNA,Cytoplasm_Texture_SumAverage_Texture_SumAverage_ER_3_02_256,0.9089219233714811
Cytoplasm_AreaShapeEulerNumber_AreaShapeEulerNumber,Nuclei_RadialDistribution_FracAtD_RadialDistribution_FracAtD_AGP_3of4,0.9069704846355462
Cells_Intensity_MinIntensityEdge_Intensity_MinIntensityEdge_DNA,Nuclei_Texture_DifferenceVariance_Texture_DifferenceVariance_RNA_5_03_256,0.9051350857665302
Nuclei_Texture_DifferenceVariance_Texture_DifferenceVariance_RNA_5_01_256,Cells_Intensity_MinIntensityEdge_Intensity_MinIntensityEdge_DNA,0.9049225039473845
Cytoplasm_Intensity_MedianIntensity_Intensity_MedianIntensity_RNA,Cells_Texture_SumAverage_Texture_SumAverage_ER_3_00_256,0.9033240287885872
Cells_Texture_SumAverage_Texture_SumAverage_ER_3_00_256,Cytoplasm_Intensity_UpperQuartileIntensity_Intensity_UpperQuartileIntensity_RNA,0.9023036535461528
Cells_Texture_SumAverage_Texture_SumAverage_ER_3_01_256,Cytoplasm_Intensity_MedianIntensity_Intensity_MedianIntensity_RNA,0.9010718403027774
Nuclei_Texture_AngularSecondMoment_Texture_AngularSecondMoment_RNA_5_01_256,Cells_Intensity_MinIntensityEdge_Intensity_MinIntensityEdge_DNA,0.9008268917483965
Cells_Intensity_MinIntensityEdge_Intensity_MinIntensityEdge_DNA,Nuclei_Texture_AngularSecondMoment_Texture_AngularSecondMoment_RNA_5_03_256,0.9007517086574814
Cytoplasm_Intensity_UpperQuartileIntensity_Intensity_UpperQuartileIntensity_RNA,Cells_Texture_SumAverage_Texture_SumAverage_ER_5_02_256,0.9007194368661585
Cytoplasm_Intensity_IntegratedIntensityEdge_Intensity_IntegratedIntensityEdge_DNA,Cells_AreaShapeMinorAxisLength_AreaShapeMinorAxisLength,0.8952505102110383
Nuclei_AreaShapeCompactness_AreaShapeCompactness,Cytoplasm_Intensity_LowerQuartileIntensity_Intensity_LowerQuartileIntensity_DNA,0.892447004319262
Cytoplasm_Intensity_IntegratedIntensity_Intensity_IntegratedIntensity_AGP,Cells_AreaShapeArea_AreaShapeArea,0.8880451250997953
Cells_AreaShapeMaximumRadius_AreaShapeMaximumRadius,Cytoplasm_Intensity_IntegratedIntensity_Intensity_IntegratedIntensity_DNA,0.8872183444648306
Nuclei_AreaShapeCompactness_AreaShapeCompactness,Cytoplasm_Intensity_MedianIntensity_Intensity_MedianIntensity_DNA,0.8833651124623083
Cytoplasm_Texture_SumAverage_Texture_SumAverage_ER_10_01_256,Cells_Intensity_MaxIntensityEdge_Intensity_MaxIntensityEdge_RNA,0.8815391383499207
Cells_NeighborsSecondClosestDistance_NeighborsSecondClosestDistance_Adjacent,Cytoplasm_Intensity_IntegratedIntensity_Intensity_IntegratedIntensity_DNA,0.8793893684510379
Cytoplasm_Intensity_IntegratedIntensity_Intensity_IntegratedIntensity_DNA,Cells_NeighborsSecondClosestDistance_NeighborsSecondClosestDistance_5,0.8793893684510379
Cells_Intensity_MaxIntensityEdge_Intensity_MaxIntensityEdge_RNA,Cytoplasm_Texture_SumAverage_Texture_SumAverage_ER_3_02_256,0.877805871728348
Cytoplasm_AreaShapeMeanRadius_AreaShapeMeanRadius,Cells_Intensity_IntegratedIntensity_Intensity_IntegratedIntensity_DNA,0.8776313733652696
Cells_Texture_InfoMeas2_Texture_InfoMeas2_RNA_3_03_256,Cytoplasm_AreaShapeSolidity_AreaShapeSolidity,0.8754968269321591
Cytoplasm_AreaShapeSolidity_AreaShapeSolidity,Cells_Texture_InfoMeas2_Texture_InfoMeas2_RNA_3_01_256,0.8752765053164127
Nuclei_AreaShapeCompactness_AreaShapeCompactness,Cells_Intensity_MinIntensityEdge_Intensity_MinIntensityEdge_DNA,0.8745470811292197
