feature_name_1,feature_name_2,correlation
Nuclei_ParentNucleiIncludingEdges_ParentNucleiIncludingEdges,Cells_ParentCellsIncludingEdges_ParentCellsIncludingEdges,0.9999997061602001
Cells_Intensity_MeanIntensity_Intensity_MeanIntensity_Mito,Cytoplasm_Texture_SumAverage_Texture_SumAverage_Mito_10_02_256,0.9933554789479931
Cells_Intensity_MedianIntensity_Intensity_MedianIntensity_AGP,Cytoplasm_Texture_SumAverage_Texture_SumAverage_AGP_5_03_256,0.993174642101111
Cytoplasm_Texture_SumAverage_Texture_SumAverage_AGP_10_00_256,Cells_Intensity_MedianIntensity_Intensity_MedianIntensity_AGP,0.9930643660866538
Cytoplasm_Texture_SumAverage_Texture_SumAverage_Mito_3_02_256,Cells_Intensity_MeanIntensity_Intensity_MeanIntensity_Mito,0.9928252186308161
Cells_AreaShapeMajorAxisLength_AreaShapeMajorAxisLength,Cytoplasm_AreaShapeMaxFeretDiameter_AreaShapeMaxFeretDiameter,0.9914714260039698
Cells_Texture_SumAverage_Texture_SumAverage_Mito_3_00_256,Cytoplasm_Intensity_MeanIntensityEdge_Intensity_MeanIntensityEdge_Mito,0.9850115942444353
Cells_AreaShapeMinFeretDiameter_AreaShapeMinFeretDiameter,Cytoplasm_AreaShapeMinorAxisLength_AreaShapeMinorAxisLength,0.9849184712863485
Cells_Texture_SumAverage_Texture_SumAverage_Mito_3_02_256,Cytoplasm_Intensity_UpperQuartileIntensity_Intensity_UpperQuartileIntensity_Mito,0.9844638622022116
Cytoplasm_Intensity_MeanIntensityEdge_Intensity_MeanIntensityEdge_Mito,Cells_Texture_SumAverage_Texture_SumAverage_Mito_5_02_256,0.9834946194668179
Nuclei_NumberObject_NumberObject_Number,Cells_ParentCellsIncludingEdges_ParentCellsIncludingEdges,0.983392873429477
Cytoplasm_NumberObject_NumberObject_Number,Nuclei_ParentNucleiIncludingEdges_ParentNucleiIncludingEdges,0.9833917460955379
Cytoplasm_Intensity_UpperQuartileIntensity_Intensity_UpperQuartileIntensity_Mito,Cells_Texture_SumAverage_Texture_SumAverage_Mito_10_00_256,0.9812547492811807
Cytoplasm_AreaShapeArea_AreaShapeArea,Cells_AreaShapeEquivalentDiameter_AreaShapeEquivalentDiameter,0.9809013309201875
Nuclei_Texture_SumAverage_Texture_SumAverage_DNA_5_03_256,Cells_Intensity_MaxIntensity_Intensity_MaxIntensity_DNA,0.9799943795783664
Cells_Intensity_MaxIntensity_Intensity_MaxIntensity_DNA,Nuclei_Texture_SumAverage_Texture_SumAverage_DNA_5_01_256,0.9798660941911667
Cells_Intensity_LowerQuartileIntensity_Intensity_LowerQuartileIntensity_AGP,Cytoplasm_Texture_SumAverage_Texture_SumAverage_AGP_3_00_256,0.9753302227342552
Cytoplasm_Texture_SumAverage_Texture_SumAverage_AGP_10_02_256,Cells_Intensity_LowerQuartileIntensity_Intensity_LowerQuartileIntensity_AGP,0.9713767686877073
